Year,Community,Treatment,Chamber,SCmass_m2,SCdensity_m2,SPmass_m2,SPdensity_m2,DImass_m2,DIdensity_m2,OTHERmass_m2,OTHERdensity_m2
1987,MX,A,2,100.9862926,231.9148936,167.1,2280,120.3,1240,0,0
1987,MX,A,6,73.37517061,180.8510638,293.1,3260,38.3,280,0,0
1987,MX,A,9,21.20349678,80.85106383,314.6,3640,103.4,900,0,0
1987,MX,A,12,88.99588379,263.8297872,275.8,2420,231.7,1860,0,0
1987,MX,A,15,77.63388621,225.5319149,286.2,3220,72.8,280,0,0
1987,MX,C,3,87.57793318,221.2765957,390.1,2900,154.7,1440,0,0
1987,MX,C,5,69.22081539,217.0212766,285.4,2860,41.5,360,0,0
1987,MX,C,7,90.98468862,276.5957447,0,0,382.4,4480,0,0
1987,MX,C,10,84.3016183,242.5531915,374.9,3720,48.7,680,0,0
1987,MX,C,14,23.08120497,114.893617,468,5300,0,0,0,0
1987,MX,E,1,157.6149685,323.4042553,184.5,2740,227.4,1420,0,0
1987,MX,E,4,135.8491785,327.6595745,202,4300,94.4,940,0,0
1987,MX,E,8,140.9153819,355.3191489,0,0,411.4,3680,0,0
1987,MX,E,11,205.3712243,410.6382979,596.3,6560,12.7,160,0,0
1987,MX,E,13,51.12814715,155.3191489,244,2500,138.7,840,0,0
1987,SC,A,2,591.6335597,678.7234043,0,0,0,0,0,0
1987,SC,A,4,859.8711493,787.2340426,0,0,0,0,0,0
1987,SC,A,8,670.1614112,831.9148936,0,0,0,0,0,0
1987,SC,A,12,444.8918262,702.1276596,0,0,0,0,0,0
1987,SC,A,15,479.7838321,702.1276596,0,0,0,0,0,0
1987,SC,C,3,590.6997371,631.9148936,0,0,0,0,0,0
1987,SC,C,5,587.1876344,814.893617,0,0,0,0,0,0
1987,SC,C,7,670.6051247,648.9361702,0,0,0,0,0,0
1987,SC,C,11,525.9127806,761.7021277,0,0,0,0,0,0
1987,SC,C,13,436.3251916,578.7234043,0,0,0,0,0,0
1987,SC,E,1,835.7605167,997.8723404,0,0,0,0,0,0
1987,SC,E,6,701.4162569,963.8297872,0,0,0,0,0,0
1987,SC,E,9,694.2712857,897.8723404,0,0,0,0,0,0
1987,SC,E,10,656.0516539,840.4255319,0,0,0,0,0,0
1987,SC,E,14,533.1660237,772.3404255,0,0,0,0,0,0
1987,SP,A,2,0,0,539.2,-99,0,0,0,0
1987,SP,A,5,0,0,486.7,-99,0,0,0,0
1987,SP,A,9,0,0,415.1,-99,0,0,0,0
1987,SP,A,11,0,0,363.9,-99,0,0,0,0
1987,SP,A,13,0,0,236.7,-99,0,0,0,0
1987,SP,C,3,0,0,327.1,-99,0,0,0,0
1987,SP,C,6,0,0,374,-99,0,0,0,0
1987,SP,C,7,0,0,250,-99,0,0,0,0
1987,SP,C,12,0,0,324,-99,0,0,0,0
1987,SP,C,15,0,0,480.7,-99,0,0,0,0
1987,SP,E,1,0,0,315,-99,0,0,0,0
1987,SP,E,4,0,0,453.4,-99,0,0,0,0
1987,SP,E,8,0,0,340.9,-99,0,0,0,0
1987,SP,E,10,0,0,195.2,-99,0,0,0,0
1987,SP,E,14,0,0,367.1,-99,0,0,0,0
1988,MX,A,2,52.93430615,148.9361702,194.77,1480,307.52,1420,0,0
1988,MX,A,6,61.51463975,153.1914894,541.53,4620,88.73,540,0,0
1988,MX,A,9,4.008855768,19.14893617,132.74,1600,178.45,1580,0,0
1988,MX,A,12,26.72273611,80.85106383,343.42,2080,233.87,1420,0,0
1988,MX,A,15,37.53068498,100,490.38,2940,89.91,520,0,0
1988,MX,C,3,40.33602201,146.8085106,150.92,2000,319.3,1560,0,0
1988,MX,C,5,34.99664731,123.4042553,663.2,4220,158.19,540,0,0
1988,MX,C,7,39.86071246,127.6595745,0,0,600.17,4000,0,0
1988,MX,C,10,89.93954443,229.787234,452.11,3360,89.37,760,0,0
1988,MX,C,14,7.565899792,31.91489362,651.39,4520,34.5,280,0,0
1988,MX,E,1,153.7050236,370.212766,301.64,1620,369.15,2040,0,0
1988,MX,E,4,131.8353973,308.5106383,357.58,2740,171.12,1300,0,0
1988,MX,E,8,92.4908115,227.6595745,0,0,549.49,3040,0,0
1988,MX,E,11,239.0728647,521.2765957,466.87,3120,36.78,400,0,0
1988,MX,E,13,74.71518344,189.3617021,369.85,2680,217.07,1220,0,0
1988,SC,A,2,586.7657182,906.3829787,0,0,0,0,0,0
1988,SC,A,4,833.0706737,910.6382979,0,0,0,0,0,0
1988,SC,A,8,586.4308111,791.4893617,0,0,0,0,0,0
1988,SC,A,12,380.3517438,755.3191489,0,0,0,0,0,0
1988,SC,A,15,346.9245703,689.3617021,0,0,0,0,0,0
1988,SC,C,3,586.4751596,736.1702128,0,0,0,0,0,0
1988,SC,C,5,593.9096924,863.8297872,0,0,0,0,0,0
1988,SC,C,7,715.0974272,900,0,0,0,0,0,0
1988,SC,C,11,451.6923969,808.5106383,0,0,0,0,0,0
1988,SC,C,13,406.0292269,729.787234,0,0,0,0,0,0
1988,SC,E,1,749.6588521,1102.12766,0,0,0,0,0,0
1988,SC,E,6,643.3242254,965.9574468,0,0,0,0,0,0
1988,SC,E,9,676.2861096,1021.276596,0,0,0,0,0,0
1988,SC,E,10,614.8623901,919.1489362,0,0,0,0,0,0
1988,SC,E,14,431.6286383,723.4042553,0,0,0,0,0,0
1988,SP,A,2,0,0,476.214,2500,0,0,0,0
1988,SP,A,5,0,0,700.615,4420,0,0,0,0
1988,SP,A,9,0,0,348.369,2220,0,0,0,0
1988,SP,A,11,0,0,329.789,2680,0,0,0,0
1988,SP,A,13,0,0,307.52,3740,0,0,0,0
1988,SP,C,3,0,0,363.011,2580,0,0,0,0
1988,SP,C,6,0,0,724.284,5580,0,0,0,0
1988,SP,C,7,0,0,547.218,5540,0,0,0,0
1988,SP,C,12,0,0,571.817,4640,0,0,0,0
1988,SP,C,15,0,0,629.379,5260,0,0,0,0
1988,SP,E,1,0,0,237.223,1980,0,0,0,0
1988,SP,E,4,0,0,718.462,3940,0,0,0,0
1988,SP,E,8,0,0,316.882,3920,0,0,0,0
1988,SP,E,10,0,0,297.729,2940,0,0,0,0
1988,SP,E,14,0,0,336.18,2640,0,0,0,0
1989,MX,A,2,125.2114663,168.0851064,686.48,5480,546.552,3120,-99,-99
1989,MX,A,6,79.77801207,110.6382979,498.212,5520,145.988,1000,-99,-99
1989,MX,A,9,14.32980012,34.04255319,570.76,5440,222.912,1600,-99,-99
1989,MX,A,12,62.45970515,117.0212766,426.8,3280,540.964,3120,-99,-99
1989,MX,A,15,65.04519581,129.787234,801.12,5000,97.08,920,-99,-99
1989,MX,C,3,68.49938663,127.6595745,564.44,3640,272.02,1440,-99,-99
1989,MX,C,5,66.02480195,138.2978723,883.28,6040,48.66,400,-99,-99
1989,MX,C,7,50.92321351,70.21276596,0,0,598.36,3840,-99,-99
1989,MX,C,10,111.9693045,148.9361702,836.084,6080,60.732,600,-99,-99
1989,MX,C,14,1.591981258,10.63829787,818.2,5640,39.84,200,-99,-99
1989,MX,E,1,263.6361497,336.1702128,110.64,1240,682.376,3760,-99,-99
1989,MX,E,4,201.1786615,261.7021277,785.76,6520,233.372,1400,-99,-99
1989,MX,E,8,157.0752372,261.7021277,8.36,40,799.78,4560,-99,-99
1989,MX,E,11,362.3970092,434.0425532,541.56,3200,41.476,200,-99,-99
1989,MX,E,13,110.0168281,197.8723404,598.76,4160,118.396,880,-99,-99
1989,SC,A,2,737.1406587,772.3404255,-99,153,-99,0,-99,46
1989,SC,A,4,1361.645547,827.6595745,-99,5,-99,37,-99,29
1989,SC,A,8,1065.895799,721.2765957,-99,9,-99,137,-99,14
1989,SC,A,12,468.6967672,561.7021277,-99,75,-99,43,-99,6
1989,SC,A,15,256.6286172,321.2765957,-99,0,-99,680,-99,0
1989,SC,C,3,1147.479337,793.6170213,-99,4,-99,0,-99,4
1989,SC,C,5,783.2309642,638.2978723,-99,68,-99,7,-99,8
1989,SC,C,7,998.9061592,710.6382979,-99,0,-99,0,-99,17
1989,SC,C,11,250.3530267,225.5319149,-99,8,-99,153,-99,18
1989,SC,C,13,301.9608668,382.9787234,-99,66,-99,248,-99,3
1989,SC,E,1,907.5672198,872.3404255,-99,3,-99,104,-99,74
