plot_no,date,latitude_rtk,longitude_rtk,elevation_rtk,salinity,total_biomass
1,07/21/2021,38.87711136,-76.54328843,0.399,9.4,1433.0800000000002
2,07/22/2021,38.87605837,-76.54337725,0.406,11.3,446.38
3,07/23/2021,38.87413319,-76.54769497,0.438,8.15,527.61
4,07/26/2021,38.87444093,-76.54872561,0.238,10.3,648.16
5,07/26/2021,38.87493262,-76.54703718,0.365,10.3,808.29
6,07/26/2021,38.87523283,-76.54736939,0.315,10.5,1142.59
7,07/27/2021,38.87386833,-76.54812798,0.39,11.3,578.65
8,07/27/2021,38.874696900000004,-76.54924084,0.287,7.6,581.68
9,07/27/2021,38.87464774,-76.54954266,0.359,10.1,647.91
10,07/27/2021,38.87387423,-76.54784214,0.417,9.8,520.33
11,07/28/2021,38.89581227,-76.53812325,NA,10.1,1047.31
12,07/28/2021,38.89524235,-76.53809897,NA,9.43,756.5600000000001
13,07/29/2021,38.8966593,-76.54152812,NA,9.58,536.29
14,07/29/2021,38.89659391,-76.54116471,NA,9.63,495.71999999999997
15,07/29/2021,38.87894865,-76.53875247,0.302,NA,540.84
16,08/02/2021,38.87721544,-76.54306006,0.166,9.59,906.4200000000001
17,08/02/2021,38.87580575,-76.54506862,0.448,9.8,604.03
18,08/02/2021,38.87976913,-76.55000694,0.37,9.19,304.96
19,08/02/2021,38.87866105,-76.55276626,0.358,8.92,650.41
20,08/03/2021,38.88001966,-76.55091862,0.348,9.72,1115.98
21,08/03/2021,38.876558,-76.54928489,0.484,10,392.21999999999997
22,08/03/2021,38.88303728,-76.54835221,0.438,11,566.61
23,08/03/2021,38.87577771,-76.54890692,0.453,9.78,789.6700000000001
24,08/04/2021,38.88237247,-76.55422261,0.305,8,347.65000000000003
25,08/04/2021,38.88009794,-76.55176004,0.458,9.27,583.7099999999999
